value,synthetic_class
inflammatory brain lesions,DiseaseClass
inherited C3 deficiency,SpecificDisease
inherited C9 deficiency,SpecificDisease
inherited and sporadic forms of the cancer,CompositeMention
inherited ataxia,DiseaseClass
inherited ataxias,DiseaseClass
inherited bleeding disorder,DiseaseClass
inherited breast and ovarian cancer,CompositeMention
inherited breast and ovarian cancers,CompositeMention
inherited breast cancer,SpecificDisease
inherited breast-ovarian cancer,CompositeMention
inherited breast/ovarian cancer,CompositeMention
inherited cancer syndrome,DiseaseClass
inherited deficiency,DiseaseClass
inherited deficiency in the ninth complement component,SpecificDisease
inherited deficiency of complement factor 2,SpecificDisease
inherited dental abnormality,DiseaseClass
inherited disease,DiseaseClass
inherited disorder,DiseaseClass
inherited disorder of iron metabolism,DiseaseClass
inherited disorder of skeletal muscle,DiseaseClass
inherited disorders,DiseaseClass
inherited human disease,DiseaseClass
inherited human disorder,DiseaseClass
inherited mental retardation,DiseaseClass
inherited metabolic disorder,DiseaseClass
inherited muscle disorder,DiseaseClass
inherited neuromuscular disease,DiseaseClass
inherited peripheral neuropathies,DiseaseClass
inner ear abnormality,DiseaseClass
inner ear morphological anomaly,SpecificDisease
insidious lesion,DiseaseClass
insulin-dependent diabetes mellitus,Modifer
intersex disorders,DiseaseClass
intra-abdominal carcinomatosis,DiseaseClass
intracellular copper accumulation,DiseaseClass
intraretinal and subretinal lipid accumulation,CompositeMention
intrauterine growth retardation,DiseaseClass
invasive cancer,DiseaseClass
invasive lobular cancers,DiseaseClass
iodide transport defect,DiseaseClass
iris hypoplasia,SpecificDisease
iron overload,SpecificDisease
iron-overload disease,SpecificDisease
iron-sulfur protein deficiency,SpecificDisease
ischemic heart disease,SpecificDisease
isolated DMS,SpecificDisease
isolated aniridia,SpecificDisease
isolated foveal hypoplasia,SpecificDisease
isolated thrombocytopenia,SpecificDisease
jaundice,SpecificDisease
jaw lesions,DiseaseClass
jaw tumor,SpecificDisease
junctional epidermolysis bullosa,SpecificDisease
juvenile granulosa cell tumour,SpecificDisease
juvenile-onset diabetes mellitus,SpecificDisease
keratosis palmoplantaris,DiseaseClass
kidney cancer,SpecificDisease
kniest dysplasia,SpecificDisease
kyphoscoliosis,DiseaseClass
lamellar cataracts,SpecificDisease
late-infantile metachromatic leukodystrophy,SpecificDisease
late-infantile type of MLD,SpecificDisease
late-onset hepatic nodular transformation,DiseaseClass
laxity of joints,SpecificDisease
leiomyosarcoma,SpecificDisease
lenticular opacities,SpecificDisease
leptin deficiency,SpecificDisease
lesch-nyhan syndrome,SpecificDisease
leucoedema,SpecificDisease
leukaemia,DiseaseClass
leukemia,DiseaseClass
leukemias,SpecificDisease
leukemic,Modifer
leukodystrophy,SpecificDisease
leukoencephalopathy,DiseaseClass
life-long hemolytic anemia,SpecificDisease
limb anomalies,DiseaseClass
limb-girdle muscular dystrophy,SpecificDisease
lip pits,SpecificDisease
lipoma,Modifer
lipomas,DiseaseClass
liver disease,DiseaseClass
liver failure,SpecificDisease
loss of ambulation,DiseaseClass
loss of position and vibration sense,CompositeMention
loss of proprioception,DiseaseClass
low frontal hairline,SpecificDisease
low-grade ductal carcinomas,SpecificDisease
lower limb weakness,SpecificDisease
lower-lip pits,SpecificDisease
lymphadenopathy,DiseaseClass
lymphoid malignancies,SpecificDisease
lymphoid malignancy,SpecificDisease
lymphoid neoplasias,DiseaseClass
lymphoid neoplasms,DiseaseClass
lymphoma,DiseaseClass
lymphoproliferative disease,SpecificDisease
lymphoproliferative syndrome,SpecificDisease
lysosomal storage disorder,DiseaseClass
macroorchidism,SpecificDisease
macular degeneration,SpecificDisease
macular dystrophy,SpecificDisease
malaria,SpecificDisease
malarious,Modifer
male and female breast cancer,CompositeMention
male breast cancer,SpecificDisease
male cancer,DiseaseClass
male pseudohermaphroditism,SpecificDisease
male-infertility,SpecificDisease
malformation of the eye,DiseaseClass
malignancy,DiseaseClass
malignant breast disease,DiseaseClass
malignant melanoma,SpecificDisease
malignant melanoma of soft parts,DiseaseClass
malignant neoplasm,DiseaseClass
malignant neoplasms,DiseaseClass
malignant rhabdoid tumors,DiseaseClass
malignant tumor of the liver,DiseaseClass
malignant tumors,DiseaseClass
mania,SpecificDisease
manic-depressive illness,SpecificDisease
maternal UPD 15,SpecificDisease
maternal disomy,SpecificDisease
maternal disomy 15,SpecificDisease
maternal disomy for chromosome 15,SpecificDisease
maternal heterodisomy,DiseaseClass
maternal phenylketonuria,SpecificDisease
maternal uniparental disomy for chromosome 14,SpecificDisease
mature T-cell leukaemia,SpecificDisease
medulloblastoma,SpecificDisease
medulloblastomas,SpecificDisease
melanoma,Modifer
melanomas,SpecificDisease
meningitis,SpecificDisease
meningococcal,Modifer
meningococcal infection,SpecificDisease
meningococcal infections,SpecificDisease
meningococcal meningitis,SpecificDisease
mental handicap,DiseaseClass
mental retardation,DiseaseClass
mentally retarded,Modifer
mesangial sclerosis,SpecificDisease
mesangiopathic glomerulonephritis,SpecificDisease
mesenchymal tumors,DiseaseClass
mesenchymal tumour,Modifer
mesothelioma,SpecificDisease
metabolic abnormalities,DiseaseClass
metabolic disease,DiseaseClass
metabolic disorder,DiseaseClass
metachromatic leukodystrophy,SpecificDisease
metaplastic polyps of the colorectum,SpecificDisease
metastasis,DiseaseClass
metastatic prostate cancer,Modifer
metastatic renal cell carcinoma,SpecificDisease
metastatic tumors,DiseaseClass
metatropic dysplasia,SpecificDisease
microcephaly,DiseaseClass
microsatellite instability,SpecificDisease
microvesicular steatosis,SpecificDisease
mid-face hypoplasia,DiseaseClass
middle ear infections,SpecificDisease
midface hypoplasia,SpecificDisease
midline scalp defect of the frontal region,DiseaseClass
midline scalp defects,DiseaseClass
migraine,SpecificDisease
mild hyperphenylalaninemia,SpecificDisease
mitochondrial disorder,DiseaseClass
mitochondrial iron accumulation,SpecificDisease
molecular lesion,DiseaseClass
monogenic endocrine disorder,DiseaseClass
motor retardation,DiseaseClass
movement disorders,DiseaseClass
mucopolysaccharidosis IVA,SpecificDisease
mucopolysaccharidosis VII,SpecificDisease
mucosal lesions,SpecificDisease
mucosal overgrowth,SpecificDisease
mucous cysts,SpecificDisease
multifactorial diseases,DiseaseClass
multigenic disorder,DiseaseClass
multiple congenital anomalies,DiseaseClass
multiple endocrine neoplasia (MEN) types 1 and 2,Modifer
multiple epiphyseal dysplasia,SpecificDisease
multisystemic disease,DiseaseClass
muscle disease,Modifer
muscle dystrophy,SpecificDisease
muscle hypertrophy,SpecificDisease
muscle wasting,DiseaseClass
muscle weakness,DiseaseClass
muscular atrophy,DiseaseClass
muscular disorder,DiseaseClass
muscular dystrophy,DiseaseClass
muscular injury,DiseaseClass
muscular weakness,DiseaseClass
myalgia,SpecificDisease
myasthenia gravis,SpecificDisease
myelin-deficient,SpecificDisease
myelinopathies,DiseaseClass
myeloneuropathy,SpecificDisease
myocardial involvement,DiseaseClass
myopathic,Modifer
myopathies,DiseaseClass
myopathy,DiseaseClass
myopia,DiseaseClass
myotonia,DiseaseClass
myotonia levior,SpecificDisease
myotonic dystrophy,SpecificDisease
nail dystrophy,SpecificDisease
neisseria infections,SpecificDisease
neisserial infection,SpecificDisease
neisserial infections,SpecificDisease
neonatal adrenoleukodystrophy,SpecificDisease
neonatal alloimmune thrombocytopenia,SpecificDisease
neonatal hypotonia,SpecificDisease
neonatal jaundice,SpecificDisease
neoplasia,DiseaseClass
neoplasm,DiseaseClass
neoplasms,DiseaseClass
neoplastic,Modifer
nephritis,SpecificDisease
nephroblastoma,SpecificDisease
nephropathy,SpecificDisease
neuritic degeneration,DiseaseClass
neurobehavioral disorders,DiseaseClass
neuroblastoma,SpecificDisease
neurodegeneration,DiseaseClass
neurodegenerative disease,DiseaseClass
neurodegenerative disorders,DiseaseClass
neurodevelopmentally handicapped,Modifer
neuroectodermal tumors,DiseaseClass
neuroepithelial abnormalities,DiseaseClass
neurofibromatosis type 1,SpecificDisease
neurofibrosarcoma,Modifer
neurofibrosarcomas,SpecificDisease
neurogenetic disease,DiseaseClass
neurogenetic disorder,DiseaseClass
neurohypophyseal diabetes insipidus,SpecificDisease
neurologic deterioration,DiseaseClass
neurologic disease,DiseaseClass
neurologic disorders,DiseaseClass
neurologic dysfunction,DiseaseClass
neurological abnormalities,DiseaseClass
neurological and behavioural disorder,DiseaseClass
neurological diseases,DiseaseClass
neurological disturbance,DiseaseClass
neurological dysfunction,DiseaseClass
neurological lesion,DiseaseClass
neuromuscular disease,DiseaseClass
neuromuscular diseases,DiseaseClass
neuromuscular disorder,DiseaseClass
neuronal damage,DiseaseClass
neuronal degeneration,DiseaseClass
neuronal dysfunction,DiseaseClass
neuropathological abnormalities,DiseaseClass
neutrophil-mediated serosal inflammation,SpecificDisease
no eyes,DiseaseClass
non-Hodgkins lymphoma,SpecificDisease
non-Indian childhood cirrhosis,SpecificDisease
non-asbestos related mesothelioma,SpecificDisease
non-familial breast and ovarian cancers,CompositeMention
non-familial cancers,DiseaseClass
non-hereditary (sporadic) breast cancer,SpecificDisease
non-inherited breast carcinomas,SpecificDisease
non-insulin-dependent diabetes mellitus,SpecificDisease
non-papillary renal cell carcinoma,SpecificDisease
non-papillary renal cell carcinomas,SpecificDisease
non-syndromic hearing loss,SpecificDisease
non-syndromic sensorineural hearing loss,SpecificDisease
noncentrocytic lymphomas,DiseaseClass
nonhereditary cancer,Modifer
nonketotic hyperglycinemia,SpecificDisease
nonneoplastic,Modifer
nonocular tumors,DiseaseClass
nonpapillary renal cell carcinoma,Modifer
nonsyndromic cleft lip and palate,CompositeMention
normotriglyceridemic abetalipoproteinemia,SpecificDisease
nystagmus,DiseaseClass
obese,Modifer
obesity,SpecificDisease
ochronotic arthropathy,SpecificDisease
ocular anomalies,DiseaseClass
oculocerebrorenal syndrome,SpecificDisease
oculocerebrorenal syndrome of Lowe,SpecificDisease
odontoma,SpecificDisease
oligodendrocyte degeneration,SpecificDisease
oligodendroglioma,SpecificDisease
optic atrophy,SpecificDisease
oral cleft,SpecificDisease
oral mucosal lesions,SpecificDisease
oromandibular dystonia,SpecificDisease
osteolytic lesions,SpecificDisease
osteomata,SpecificDisease
osteomatous jaw lesions,DiseaseClass
osteosarcoma,SpecificDisease
ovarian and early-onset,CompositeMention
ovarian cancer,SpecificDisease
ovarian cancers,SpecificDisease
ovarian carcinomas,SpecificDisease
ovarian or breast cancer,CompositeMention
ovarian or other cancers,CompositeMention
ovarian tumor,SpecificDisease
ovarian tumors,SpecificDisease
"ovarian, gastric, and biliary system carcinomas",CompositeMention
palmoplantar hyperkeratosis,SpecificDisease
palmoplantar keratoderma (PPK) conditions,DiseaseClass
palmoplantar keratosis,DiseaseClass
pancreatic cancer,SpecificDisease
pancreatic cancers,SpecificDisease
pancreatic cysts and tumors,CompositeMention
pancreatic malignancies,SpecificDisease
pancreatic tumors,SpecificDisease
pancreatic tumour,Modifer
"pancreatic, basal cell, colonic, breast, and cervical carcinomas",CompositeMention
papillary cystadenoma,SpecificDisease
papillary cystadenoma of the epididymis,SpecificDisease
papillary renal cell tumours,SpecificDisease
parathyroid adenomas,DiseaseClass
parathyroid tumor,SpecificDisease
parenchymal tumours of the kidney,DiseaseClass
paroxysmal dystonic choreoathetosis,SpecificDisease
paroxysmal nocturnal haemoglobinuria,SpecificDisease
paroxysmal nocturnal hemoglobinuria,SpecificDisease
partial LCAT deficiency,SpecificDisease
partial deficiencies of HPRT activity,DiseaseClass
partial or complete deficiency of Hmgic,CompositeMention
patchy alopecia,SpecificDisease
pattern dystrophy,SpecificDisease
pattern macular dystrophy,SpecificDisease
pediatric cancer of striated muscle,SpecificDisease
pendred syndrome,Modifer
periodontal disease,Modifer
periodontitis,SpecificDisease
periodontopathia,SpecificDisease
peripheral arthritis,SpecificDisease
peripheral psoriatic arthritis,SpecificDisease
peroxisomal deficiency disorders,DiseaseClass
peroxisomal disease,DiseaseClass
peroxisomal disorder,DiseaseClass
peroxisomal disorders,DiseaseClass
personality disorders,DiseaseClass
phaeochromocytoma,SpecificDisease
phaeochromocytomas,SpecificDisease
phenotypic abnormalities,DiseaseClass
phenotypic color vision defects,SpecificDisease
phenylalanine hydroxylase deficiency,SpecificDisease
phenylketonuria,SpecificDisease
pheochromocytoma,SpecificDisease
pheochromocytomas,DiseaseClass
photoreceptor dystrophies,DiseaseClass
piebald,Modifer
piebaldism,SpecificDisease
pigmented ocular fundus lesions,DiseaseClass
pilomatricomas,SpecificDisease
pineal and retinal tumours,CompositeMention
pits and/or sinuses of the lower lip,CompositeMention
pituitary-adrenal abnormality,DiseaseClass
platyspondyly,DiseaseClass
pneumonia,SpecificDisease
polycystic kidney disease,SpecificDisease
polyglutamine disease,DiseaseClass
polyposis,Modifer
polyps,DiseaseClass
popliteal pterygia syndrome,SpecificDisease
postnatal growth deficiency,DiseaseClass
predisposition to WT,DiseaseClass
premature atherosclerosis,SpecificDisease
premature death,SpecificDisease
premenopausal ovarian cancer,SpecificDisease
primary HPT,SpecificDisease
primary dystonias,DiseaseClass
primary glioblastomas,SpecificDisease
primary lipomas,DiseaseClass
primary peritoneal cancer,SpecificDisease
progressive central demyelination,DiseaseClass
progressive cerebellar ataxia,SpecificDisease
progressive gait and limb ataxia,CompositeMention
progressive skeletal myopathy,SpecificDisease
prolidase deficiency,SpecificDisease
prostate adenocarcinoma,Modifer
prostate cancer,SpecificDisease
prostate carcinoma,SpecificDisease
prostate carcinomas,SpecificDisease
prostate tumors,SpecificDisease
prostatic adenocarcinoma,Modifer
prostatic cancer,SpecificDisease
"prostatic, pancreas, skin, and lung cancer",CompositeMention
protein S deficiency,SpecificDisease
protein S deficiency type I,SpecificDisease
protein-import deficiency,DiseaseClass
proteinuria,SpecificDisease
pseudoglioma,SpecificDisease
pseudohermaphroditism,SpecificDisease
psoriasis,SpecificDisease
psoriatic arthropathy,SpecificDisease
psychiatric disorder,DiseaseClass
psychiatric disorders,DiseaseClass
ptosis,SpecificDisease
purulent meningitis,SpecificDisease
pyoderma gangrenosum,SpecificDisease
pyogenic infection,DiseaseClass
pyogenic infections,DiseaseClass
pyruvate carboxylase deficiency,SpecificDisease
radiographic deformity of the fingers,SpecificDisease
rare diseases,DiseaseClass
"rare, sex-linked recessive, dysmyelinating disease of the central nervous system",DiseaseClass
rearrangement disorders,DiseaseClass
recessive disease,DiseaseClass
recessive disorder,DiseaseClass
recessive disorders,DiseaseClass
recessive genetic disorders,DiseaseClass
recessive inherited disorder,DiseaseClass
recessive multi-system disorder,DiseaseClass
recessive myotonia,DiseaseClass
recessively inherited condition,DiseaseClass
recessively inherited disorder,DiseaseClass
rectal polyp,Modifer
recurrent meningitis,SpecificDisease
renal amyloidosis,SpecificDisease
renal cell carcinoma,SpecificDisease
renal cell carcinomas,SpecificDisease
renal disease,DiseaseClass
renal failure,SpecificDisease
renal hamartomas,SpecificDisease
renal lesions,DiseaseClass
renal nephropathy,DiseaseClass
renal oncocytomas,SpecificDisease
restricted joint mobility,DiseaseClass
retinal and the pineal tumours,CompositeMention
retinal degeneration,Modifer
retinal detachment,SpecificDisease
retinal dystrophy,DiseaseClass
retinal telangiectasis,SpecificDisease
"retinal, cerebellar and spinal haemangioblastomas",CompositeMention
retinitis pigmentosa,SpecificDisease
retinitis punctata albescens,SpecificDisease
retinoblastoma,Modifer
retinoblastoma (RB) tumor,SpecificDisease
retinoblastoma tumors,SpecificDisease
retinoblastoma tumours,SpecificDisease
retinoblastomas,SpecificDisease
retinoschisis,SpecificDisease
rhabdoid,Modifer
rhabdoid tumors,DiseaseClass
rheumatic disorder,DiseaseClass
riboflavin deficiency,SpecificDisease
sacro-iliitis,SpecificDisease
sarcomas,DiseaseClass
scoliosis,DiseaseClass
searching gaze,SpecificDisease
seizure disorder,SpecificDisease
semidominant developmental disorders,DiseaseClass
seminoma,SpecificDisease
sensorineural deafness,SpecificDisease
sensorineural hearing loss,SpecificDisease
sensory neural deafness,SpecificDisease
sensory-neural deafness,DiseaseClass
seropositive rheumatoid arthritis,SpecificDisease
serosal inflammation,SpecificDisease
serositis,DiseaseClass
serous cystadenocarcinoma,SpecificDisease
severe acroparesthesia,SpecificDisease
severe neonatal jaundice,SpecificDisease
severe von Willebrand disease,SpecificDisease
severely handicapped,DiseaseClass
short stature,DiseaseClass
short trunk and extremities,SpecificDisease
sicca syndrome,SpecificDisease
skeletal dysplasia,SpecificDisease
skeletal myopathy,SpecificDisease
skin pigmentation,DiseaseClass
skin rash,DiseaseClass
skin tumour,DiseaseClass
skin tumours,DiseaseClass
skin ulcers,SpecificDisease
solid tumor,DiseaseClass
solid tumors,DiseaseClass
spastic paraplegia,DiseaseClass
spasticity,DiseaseClass
spina bifida,SpecificDisease
spinal SEP abnormalities,DiseaseClass
spinal abnormalities,DiseaseClass
spinal cerebellar ataxia,Modifer
spinal cord syndrome,SpecificDisease
spinal xanthomatosis,SpecificDisease
spinocerebellar ataxia 3,Modifer
spinocerebellar ataxia 3/Machado-Joseph disease,Modifer
spinocerebellar ataxia 6,SpecificDisease
spinocerebellar ataxia type 3,SpecificDisease
spinocerebellar ataxias 1 and 2,CompositeMention
splenomegaly,DiseaseClass
spondylitis,SpecificDisease
spongy degeneration of the brain,SpecificDisease
sporadic (nonhereditary) ovarian cancers,SpecificDisease
sporadic RCC,SpecificDisease
sporadic T-PLL,SpecificDisease
sporadic T-cell leukaemia,SpecificDisease
sporadic T-cell prolymphocytic leukaemia,SpecificDisease
sporadic Wilms tumours,SpecificDisease
sporadic aniridia,SpecificDisease
sporadic breast and ovarian cancers,CompositeMention
sporadic breast cancer,Modifer
sporadic breast cancers,SpecificDisease
"sporadic breast, brain, prostate and kidney cancer",Modifer
sporadic cancers,DiseaseClass
sporadic cerebellar haemangioblastoma,SpecificDisease
sporadic colorectal cancers,SpecificDisease
sporadic ovarian tumours,SpecificDisease
sporadic prostate cancer,SpecificDisease
sporadic renal cell carcinoma,SpecificDisease
sporadic renal cell carcinomas,SpecificDisease
sporadic tumours,DiseaseClass
stage II and III colorectal carcinomas,CompositeMention
stage II and stage III colorectal carcinomas,CompositeMention
stage II colorectal cancer,SpecificDisease
stage II colorectal carcinomas,SpecificDisease
stage II or stage III colorectal cancer,CompositeMention
stage III cancers,DiseaseClass
stage III disease,SpecificDisease
stillborn,DiseaseClass
sub-total deficiency of C6 and C7,CompositeMention
subtotal C6 and complete C6 deficiency,CompositeMention
subtotal complement C6 deficiency,SpecificDisease
sudden cardiac death,SpecificDisease
sudden death,SpecificDisease
"sudden, unexplained death",SpecificDisease
sustained muscle contraction,DiseaseClass
swelling of the ear pinna,DiseaseClass
syndactyly of fingers and toes,CompositeMention
syndromic and non-syndromic hearing loss,CompositeMention
syndromic deafness,DiseaseClass
syndromic forms of cleft lip and palate,CompositeMention
synovitis,DiseaseClass
systemic diseases,DiseaseClass
systemic lupus erythematosus,SpecificDisease
telecanthus,SpecificDisease
tendinous xanthomas,SpecificDisease
terminal complement deficiency,SpecificDisease
tetrasomy,DiseaseClass
thalassemia,Modifer
thrombocytopenia,SpecificDisease
thrombocytopenic,Modifer
thrombophilic conditions,DiseaseClass
thrombophilic defect,SpecificDisease
thrombosis,SpecificDisease
thymic lymphoma,SpecificDisease
thymic lymphomas,SpecificDisease
thymomas,SpecificDisease
thyroid goiter,SpecificDisease
thyroid tumours,SpecificDisease
tooth loss,SpecificDisease
trauma,SpecificDisease
tremors,DiseaseClass
trichorhinophalangeal syndrome,SpecificDisease
trinucleotide repeat disorders,DiseaseClass
trisomy 15,SpecificDisease
tuberous sclerosis,SpecificDisease
tumor,Modifer
tumor types,DiseaseClass
tumorogenesis,DiseaseClass
tumors,DiseaseClass
tumour,Modifer
tumours,DiseaseClass
type GD II,SpecificDisease
type I C2 deficiency,SpecificDisease
type I C2-deficient,Modifer
type I GD,SpecificDisease
type I autosomal dominant cerebellar ataxia,SpecificDisease
type I human complement C2 deficiency,SpecificDisease
type I protein S deficiency,SpecificDisease
type I vWD,SpecificDisease
type I von Willebrand disease,SpecificDisease
type II C2 deficiency,SpecificDisease
type II C2-deficient,Modifer
type II GD,SpecificDisease
type II Gaucher disease,Modifer
type II collagenopathy,DiseaseClass
type IIA vWD,Modifer
type IID von Willebrand disease,SpecificDisease
type III GD,SpecificDisease
type IV Ehlers-Danlos syndrome,SpecificDisease
ulcerative colitis,SpecificDisease
unilateral and bilateral retinoblastoma,CompositeMention
unilateral retinal telangiectasis,SpecificDisease
unilateral retinoblastoma,SpecificDisease
unilateral tumors,DiseaseClass
unilateral tumours,DiseaseClass
uniparental disomy,SpecificDisease
upper limb weakness,SpecificDisease
upper respiratory infection,SpecificDisease
urogenital aberrations,DiseaseClass
urogenital abnormalities,DiseaseClass
vWD,SpecificDisease
vWS,Modifer
vWf-deficient,Modifer
van der Woude syndrome,SpecificDisease
vascular injury,SpecificDisease
vasculitis,SpecificDisease
vasculopathy of the heart and brain,CompositeMention
velo-cardio-facial syndrome,SpecificDisease
venous thrombosis,SpecificDisease
very long chain acyl-CoA dehydrogenase deficiency,SpecificDisease
very-long-chain acyl-CoA dehydrogenase deficiency,SpecificDisease
very-long-chain acyl-coenzyme A dehydrogenase deficiency,SpecificDisease
visual deterioration,DiseaseClass
visual loss,SpecificDisease
vitreoretinal degeneration,SpecificDisease
vitreoretinal dystrophy,DiseaseClass
von Hippel-Lindau,Modifer
von Hippel-Lindau (VHL) disease,SpecificDisease
von Hippel-Lindau (VHL) tumor,Modifer
von Hippel-Lindau disease,SpecificDisease
von Hippel-Lindau disease tumour,Modifer
von Hippel-Lindau disease-associated and sporadic RCCs,CompositeMention
von Hippel-Lindau tumor,Modifer
von Willebrand,Modifer
von Willebrand disease,SpecificDisease
von Willebrand disease type B,SpecificDisease
von Willebrand factor (vWf) deficiency,SpecificDisease
wasting of humero-peroneal muscles,SpecificDisease
weakness,DiseaseClass
white matter abnormalities,DiseaseClass
white matter lesions,DiseaseClass
widened vestibular aqueduct,SpecificDisease
xanthoma,DiseaseClass
